basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	language	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	startDayOfYear	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	identifiedBy	recordedBy	country	sex	taxonRank
HumanObservation	Stn 456 Tanystylum pfefferi	Pycnogonida	Discovery Reports	1000	Discovery Expedition Biological Reports	18	-54.4256	3.5299	1930-10-18	165	Ammotheidae	Stn 456	POINT (3.5299 -54.4256)	Tanystylum	WGS84	2	NIWA	Animalia	en	1 mile E of Bouvet Island	45.0	40.0	2019-03-15	10	5534	Large dredge, heavy pattern, 1.2m in length	present	Pantopoda	Arthropoda	Large dredge, heavy pattern, 1.2m in length	Tanystylum neorhetum	Bouvier, 1913	urn:lsid:marinespecies.org:taxname:379585	pfefferi	291	Atlantic Ocean	1930	0cc73244-1a4d-418a-b735-28f21b2f1f81	364e5a12-8028-4329-be50-fc548c2d6ce4	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	42.5	-1237248000000.0	-1237248000000.0	-1237248000000.0	1930.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum pfefferi	[]	497	6260	-0.15	33.81						
HumanObservation	SAMC-MBR-013463	Pycnogonida	MBR			17	-46.9832992554	37.7916984558	1985-04-17T12:00:00Z		Ammotheidae	MAD 13000.4		Tanystylum			SAMC	Animalia		Marion & Prince  Edward Island; 46 59' S 37 47.5' E	180.0	100.0		4		Gear:Bottom Dredge;Preparation:alch		Pantopoda	Arthropoda		Tanystylum neorhetum		urn:lsid:marinespecies.org:taxname:172994				1985	0ddb4b48-a468-4de7-a5f0-37685721708e	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	140.0	482544000000.0	482544000000.0	482544000000.0	1985.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum neorhetum	[]	272	1078	5.58	33.81	100.0	Arnaud	UCT Marion Island Survey			
HumanObservation	34740	Pycnogonida	SOMBASE Pycnogonids				-51.1888999939	-59.0499992371			Ammotheidae			Tanystylum			BAS	Animalia			115.0	105.0						Pantopoda	Arthropoda		Tanystylum neorhetum		urn:lsid:marinespecies.org:taxname:379585					0e53f096-7a26-4ae3-b2e5-1196fdf84b37	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	110.0					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum pfefferi	['DEPTH_EXCEEDS_BATH']	30	218	7.19	34.06						
HumanObservation	SAMC-MBR-013471	Pycnogonida	MBR				-46.8666992188	37.7332992554	1976-07-02T00:00:00Z		Ammotheidae	MD 08/26 CP135		Tanystylum			SAMC	Animalia		NE Marion Island	145.0	135.0				Gear:Trawl;Preparation:alch		Pantopoda	Arthropoda		Tanystylum neorhetum		urn:lsid:marinespecies.org:taxname:172994				1976	16643392-adff-42da-bf5f-ba1098cb2158	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	140.0	205113600000.0	205113600000.0	205113600000.0	1976.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum neorhetum	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-618	-4004			100.0	Arnaud	Marion dufresne Survey			
PreservedSpecimen	P.45042	Pycnogonida	co113	10000			-54.49166	158.9625	1978-01-30		Ammotheidae		POINT (158.96250 -54.49166)	Tanystylum			AM	Animalia		Macquarie Island, Tottan Head, south end of Goat Bay			2017-03-02T15:50:56		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45042		present	Pantopoda	Arthropoda		Tanystylum neorhetum		urn:lsid:marinespecies.org:taxname:172994	neorhetum				193247cb-a547-475f-b0e2-dcb8cdefe351	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		254966400000.0	254966400000.0	254966400000.0	1978.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum neorhetum	['NO_DEPTH']	263	1005	5.26	33.92				Australia	Female	species
HumanObservation	22169	Pycnogonida	SOMBASE Pycnogonids				-54.2066001892	-37.6683006287			Ammotheidae			Tanystylum			BAS	Animalia			90.0	69.0						Pantopoda	Arthropoda		Tanystylum neorhetum		urn:lsid:marinespecies.org:taxname:172994					1f14aa95-2c78-47e9-8239-6c9fbb19a488	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	79.5					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum neorhetum	[]	78	2928	1.75	33.74						
PreservedSpecimen	P.45035	Pycnogonida	co113	10000			-54.5	158.95	1977-12-16		Ammotheidae		POINT (158.95000 -54.50000)	Tanystylum			AM	Animalia		Macquarie Island, rocks off end of Garden Bay Peninsula			2017-03-02T15:50:55		urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.45035		present	Pantopoda	Arthropoda		Tanystylum neorhetum		urn:lsid:marinespecies.org:taxname:172994	neorhetum				1f444a10-ddff-4849-8a97-e9cc5fb1e015	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		251078400000.0	251078400000.0	251078400000.0	1977.0	False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum neorhetum	['NO_DEPTH']	54	365	5.23	33.91				Australia	Male	species
HumanObservation	38122	Pycnogonida	SOMBASE Pycnogonids				-54.2915992737	-35.8115997314			Ammotheidae			Tanystylum			BAS	Animalia										Pantopoda	Arthropoda		Tanystylum neorhetum		urn:lsid:marinespecies.org:taxname:172994					1fe466ea-9bb8-4f78-b90b-9722650b30bc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']						False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum neorhetum	['NO_DEPTH']	228	24172	1.71	33.76						
HumanObservation	22179	Pycnogonida	SOMBASE Pycnogonids				-52.976600647	-70.5132980347			Ammotheidae			Tanystylum			BAS	Animalia			90.0	90.0						Pantopoda	Arthropoda		Tanystylum neorhetum		urn:lsid:marinespecies.org:taxname:172994					21bed5a2-ce0d-489a-a418-7d4ab5e8d699	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	90.0					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum neorhetum	[]	96	4712	7.0	34.0						
HumanObservation	22171	Pycnogonida	SOMBASE Pycnogonids				-52.7332992554	-67.6999969482			Ammotheidae			Tanystylum			BAS	Animalia			49.0	40.0						Pantopoda	Arthropoda		Tanystylum neorhetum		urn:lsid:marinespecies.org:taxname:172994					25065f94-2759-4895-b1cb-870aeeb35589	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	44.5					False	False	True	False	Chelicerata	Eupantopodida	Ascorhynchoidea	Tanystylum neorhetum	2	1065	1274	1302	1358	379601	379608	1562	134577	172994	172994	Tanystylum neorhetum	[]	63	46271	6.85	34.06						
