basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	eventDate	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	specificEpithet	taxonRank	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth
PreservedSpecimen	P.27974	Pycnogonida	co113	10000	Australia	-54.633	158.916	1978-01-07	Ammotheidae	POINT (158.91600 -54.63300)	Tanystylum	AM	Animalia	Macquarie Island, Green Gorge, in front of hut	2017-03-02T11:27:41	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27974	present	Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996	styligerum	species	033b67b5-78e9-4a21-89cf-e61de3896ef4	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	252979200000.0	252979200000.0	252979200000.0	1978.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	['NO_DEPTH']	120	936	5.14	33.91			
HumanObservation	22192	Pycnogonida	SOMBASE Pycnogonids			-64.8208007812	-63.4874992371		Ammotheidae		Tanystylum	BAS	Animalia					Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996			0d46a1e5-a20c-4572-8f7b-660385ee84f7	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	[]	-25	136	-0.57	33.18	15.0	15.0	15.0
HumanObservation	22190	Pycnogonida	SOMBASE Pycnogonids			-53.5133018494	-70.8424987793		Ammotheidae		Tanystylum	BAS	Animalia					Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996			0fa7c8a5-f0f8-41ab-be83-757d723cf33e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	[]	336	6939	7.07	33.79	1.0	0.0	0.5
HumanObservation	22205	Pycnogonida	SOMBASE Pycnogonids			-33.2416000366	126.333297729		Ammotheidae		Tanystylum	BAS	Animalia					Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996			14adffd3-2149-421c-9303-656f176e562d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	['DEPTH_EXCEEDS_BATH']	129	106524	18.49	35.64	192.0	183.0	187.5
PreservedSpecimen	P.27995	Pycnogonida	co113	10000	Australia	-54.483	158.95	1977-12-12	Ammotheidae	POINT (158.95000 -54.48300)	Tanystylum	AM	Animalia	Macquarie Island, Aerial Cove	2017-03-02T11:27:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27995	present	Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996	styligerum	species	1670a328-314f-4e15-95df-d62b46c8763f	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	250732800000.0	250732800000.0	250732800000.0	1977.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	['NO_DEPTH']	285	573	5.26	33.92			
PreservedSpecimen	P.63030	Pycnogonida	co113	10000	Australia	-54.49166	158.9625	1978-01-30	Ammotheidae	POINT (158.96250 -54.49166)	Tanystylum	AM	Animalia	Macquarie Island, Tottan Head, south end of Goat Bay	2017-03-02T15:10:45	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.63030	present	Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996	styligerum	species	1758ff79-2626-4b19-b531-ba4edb263e6a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	254966400000.0	254966400000.0	254966400000.0	1978.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	['NO_DEPTH']	263	1005	5.26	33.92			
PreservedSpecimen	P.27980	Pycnogonida	co113	10000	Australia	-54.5	158.883	1977-12-21	Ammotheidae	POINT (158.88300 -54.50000)	Tanystylum	AM	Animalia	Macquarie Island, Handspike Point	2017-03-02T11:27:41	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27980	present	Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996	styligerum	species	1bff54df-570c-40bc-ba85-2193ba62690a	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	251510400000.0	251510400000.0	251510400000.0	1977.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	['NO_DEPTH', 'ON_LAND']	-1	-191	5.22	33.91			
HumanObservation	22201	Pycnogonida	SOMBASE Pycnogonids			-54.8465995789	-64.4866027832		Ammotheidae		Tanystylum	BAS	Animalia					Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996			1e868d85-c028-438b-9504-6fc15818e960	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	[]	-1	113	6.72	33.96	0.0	0.0	0.0
HumanObservation	22197	Pycnogonida	SOMBASE Pycnogonids			-54.7565994263	-64.1632995605		Ammotheidae		Tanystylum	BAS	Animalia					Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996			23262615-da3d-42e5-b083-f476f9dc480b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	['ON_LAND']	-9	-39	6.7	33.97	30.0	30.0	30.0
PreservedSpecimen	P.27997	Pycnogonida	co113	10000	Australia	-54.483	158.95	1978-02-02	Ammotheidae	POINT (158.95000 -54.48300)	Tanystylum	AM	Animalia	Macquarie Island, Aerial Cove	2017-03-02T11:27:42	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27997	present	Arthropoda	Tanystylum styligerum	urn:lsid:marinespecies.org:taxname:172996	styligerum	species	232e9351-dbea-4f2c-a79e-c2ba2378b622	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	255225600000.0	255225600000.0	255225600000.0	1978.0	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Ascorhynchoidea	Tanystylum styligerum	2	1065	1274	1302	1358	379601	379608	1562	134577	172996	172996	Tanystylum styligerum	['NO_DEPTH']	285	573	5.26	33.92			
